"Air Force School, Ambala ",,Ambala
"Conventof Jesus And Mary, Ambala ",,Ambala
"OPS Vidya Mandir, Ambala ",,Ambala
"S.A.Jain Senior Model School, Ambala City",,Ambala
"Rajshree Rananjay Sinh Global School, Amethi",,Amethi
"Manibai Gujarati English School, Amravati",,Amravati
"Podar International School, Amravati ",,Amravati
"School Of Scholars, Amravati",,Amravati
"Titans Public School, Amravati",,Amravati
"Y.E.S. English School, Amravati",,Amravati
"Vavadiya K. V. Vidhya Mandir Ansodar, Amreli ",,Amreli
"D.A.V International School, Amritsar",,Amritsar
"Excelsum High School, Amritsar",,Amritsar
"Pathseeker, Amritsar",,Amritsar
"Police Dav Public School, Amritsar",,Amritsar
"Spring Dale Senior School, Amritsar",,Amritsar
"St.Joseph School, Amritsar",,Amritsar
"Sri Krishna Em School, Anantapur",,Anantapur
"Saint Lawrence, Angul",,Angul
"Bal Bharti Public School, Anuppur",,Anuppur
"Asansol North Point School, Asansol",,Asansol
"Burnpur Riverside School, Asansol",,Asansol
"Dav Public School, Asansol",,Asansol
"Ramakrishna Mission High School, Asansol",,Asansol
"AECS, Aswapuram",,Aswapuram
"Atomic Energy Central School, Aswapuram",,Aswapuram
"Shanti Dham Sr. Sec. School, Atarra",,Atarra
"Cambridge School, Aurangabad",,Aurangabad
"Chatrapati Shahu Maharaj English School, Aurangabad",,Aurangabad
"Lord Budha Public School, Aurangabad",,Aurangabad
"Maharashtra Public School, Aurangabad",,Aurangabad
"Podar International Cbse School, Aurangabad",,Aurangabad
"Vatsalya Vihar Public School, Aurangabad",,Aurangabad
"Wockhardt Global School, Aurangabad",,Aurangabad
"Woodridge High School, Aurangabad",,Aurangabad
"Gd Memorial Yonkers English School Lalganj, Azamgarh",,Azamgarh
"St.Xavier's High School, Azamgarh",,Azamgarh
"Saraswati Vidhya Mandir, Bagaha",,Bagaha
"Indraprastha Public School, Baghpat",,Baghpat
"St.Thomas School, Bahadurgarh",,Bahadurgarh
"Buddha Public School, Bahraich",,Bahraich
"Pandit Sachhidanand Inter Coll, Bahraich ",,Bahraich
"Ideal Acadmey Waraseoni, Balaghat",,Balaghat
"Modern Public School, Balasore ",,Balasore
"Holy Cross School, Ballia",,Ballia
"Incredible Public School, Ballia",,Ballia
"Naga Ji Saraswati Vidya Mandir, Ballia",,Ballia
"Unique Convent School, Ballia",,Ballia
"Dunlop English Medium School, Bandel",,Bandel
"AECS Magnolia, Bangalore",,Bangalore
"Baldwin Boys High School, Bangalore",,Bangalore
"Bethany High School, Bangalore",,Bangalore
"BGS National Public School, Bangalore",,Bangalore
"Bishop Cotton Boys School, Bangalore",,Bangalore
"Bishop Cotton Girls School, Bangalore",,Bangalore
"Carmel High School, Bangalore",,Bangalore
"Christ Academy, Bangalore",,Bangalore
"Chrysalis High, Bangalore",,Bangalore
"Clarence Public School, Bangalore",,Bangalore
"CMRNPS School, Bangalore",,Bangalore
"Deens Academy, Bangalore",,Bangalore
"Delhi Public School, Bangalore",,Bangalore
"Euro School, Bangalore",,Bangalore
"Freedom International School, Bangalore",,Bangalore
"Geetanjali Olympiad School, Bangalore",,Bangalore
"Gnanabodhini High School, Bangalore",,Bangalore
"Greenwood High International, Bangalore",,Bangalore
"Greenwood Montessori School, Bangalore",,Bangalore
"Jyothy Kendriya Vidyalaya, Bangalore",,Bangalore
"Mitra Academy, Bangalore",,Bangalore
"National Centre For Excellence, Bangalore",,Bangalore
"Neev Academy, Bangalore",,Bangalore
"New Horizon Gurukul, Bangalore",,Bangalore
"NPS, Bangalore",,Bangalore
"Orchid The International School, Bangalore",,Bangalore
"Presidency School, Bangalore",,Bangalore
"Ryan International School, Bangalore",,Bangalore
"S. Cadambi Vidya Kendra, Bangalore",,Bangalore
"School Of India, Bangalore",,Bangalore
"Sparkling Mindz Global School, Bangalore",,Bangalore
"Sparrows Montessori School, Bangalore",,Bangalore
"Sri Chaitanya Techno School, Bangalore",,Bangalore
"Sri Kumarans Public School, Bangalore",,Bangalore
"St Xavier's School, Bangalore, Bangalore",,Bangalore
"St. Francis Icse, Bangalore",,Bangalore
"St.Marys Public School, Bangalore",,Bangalore
"St.Paul's English School, Bangalore",,Bangalore
