school_name,city,country
Vidya Bharati Chinmaya Vidyalaya,Jamshedpur,India
Lakshmini Devi Memorial Udayan Public School,Japla,India
Dr.Rizvi Learners Academy,Jaunpur,India
Bal Vidya Niketan,Jehanabad,India
Cambridge International School,Jhajjar,India
St Francis De Sales Are Sec School,Jhajjar,India
Balaji Public School,Jhansi,India
Jai Academy,Jhansi,India
RNS World School,Jhansi,India
S K A D Inter Collage,Jhansi,India
West End High School,Jhargram,India
D A V Public School,Jharsuguda,India
The Blue Bells E.M School,Jharsuguda,India
Indus Public School,Jind,India
Central Academy School Army Cantt,Jodhpur,India
St.Anne's School,Jodhpur,India
Fransalian High School,Jonai,India
Eklavya Global Public School,Junagadh,India
Narayana.E.M.School,kadapa,India
Sainik School Imphal,Kakching,India
Aditya Public School,Kakinada,India
Saranya Concept School,Kakinada,India
Little Flower English Medium School,Kalikavu,India
Springdale Academy,Kalimpong,India
St. Joseph's Convent,Kalimpong,India
Holy Cross Convent School,Kalyan,India
Vani Vidyashala High School,Kalyan,India
Velammal Global School Polacheri,Kanchipuram,India
St. Drona Public School,Kandhla,India
GAV Public School Kangra,Kangra,India
Gama International School,Kannur,India
A.K. Academy,Kanpur,India
Allenhouse Public School,Kanpur,India
DPS Kalyanpur,Kanpur,India
Dr.Virendra Swarup Education Centre,Kanpur,India
Prithviraj Chauhan Education Centre,Kanpur,India
Puranchandra Vidhaya Niketan,Kanpur,India
Sheiling House School,Kanpur,India
St. Joseph's Sr. Sec. School,Kanpur,India
St. Mary's Convent High School,Kanpur,India
U.P Kirana Seva Samiti Vidyala,Kanpur,India
Welfare Mission International,Kanpur,India
M.G.N Public School,Kapurthala,India
Jawahar Navodaya Vidyalaya,Karaikal,India
The Leader's Academy,Karaikudi,India
Paramita High School,Karimnagar,India
Parksh Public Shool,Karnal,India
Pratap Public School,Karnal,India
S.D Adarsh Public School,Karnal,India
St Kabir Public School,Karnal,India
Vijeta Public School,Karnal,India
St Micheal Convent School,Karwar,India
G H S S Kasaragod,Kasaragod,India
Katwa D.D.C. Girls H.S. School,Katwa,India
H.R.I.C.Khalilabad,Khalilabad,India
Vatsalya International School,Khambhat,India
Griffins International School,Kharagpur,India
Panskura Shri Ramkrishna Vivek,Kharagpur,India
Ramsheth Thakur Public School,Kharghar,India
Kalpana Chawla Vidyapeeth School,Kharkhoda,India
Inter National Public School,Khordha,India
Snehalata Public School,Kirnahar,India
Delhi Public School,Kishanganj,India
Chatrapati Shahu Vidyalaya,Kolhapur,India
Vimla Goyenka English Medium,Kolhapur,India
Adamas International School,Kolkata,India
Aditya Academy Senior Secondary,Kolkata,India
Akshar School,Kolkata,India
Apeejay School Saltlake,Kolkata,India
Apeejay School,Kolkata,India
APS,Kolkata,India
Ashok Hall Girls High School,Kolkata,India
Assembly Of God Church,Kolkata,India
Aulad Hussain Islamic Academy,Kolkata,India
B.D.M.International,Kolkata,India
Ballygunge Government High School,Kolkata,India
Barasat Kalikrishna Girls High School,Kolkata,India
Bharatiya Vidhya Bhavan,Kolkata,India
Bidhannagar Municipal School,Kolkata,India
Bidya Bharati School,Kolkata,India
Birla High School,Kolkata,India
Carmel School,Kolkata,India
D P S Newtown,Kolkata,India
DAV Public School,Kolkata,India
Don Bosco School,Kolkata,India
Easternpoint High School,Kolkata,India
Future Campus School,Kolkata,India
G.D Birla Centre For Eucatio,Kolkata,India
Garden High School,Kolkata,India
Gems Akademia International School,Kolkata,India
Grace Ling Liang English School,Kolkata,India
Hariyana Vidyamandir,Kolkata,India
Holy Child Boys National Schoo,Kolkata,India
Jewish Girls' School,Kolkata,India
La Martiniere For Boys,Kolkata,India
Loreto Convent Entally,Kolkata,India
Loreto Day School Boubazar,Kolkata,India
M.P.Birla Foundation Higher Secondary School,Kolkata,India
Mahadevi Birla Sishu Vihar,Kolkata,India
Mangalam Vidya Niketan,Kolkata,India
Modern English Academy,Kolkata,India
National High School,Kolkata,India
Our Lady Queen Of The Missions,Kolkata,India
Pathabhavan,Kolkata,India
Purbasukutia G.K. Balika Vidayala,Kolkata,India
Queen Of The Missions School,Kolkata,India
Ramkrishna Mission Boys' Home Junior High School,Kolkata,India
Salt Lake Shiksha Nikethan,Kolkata,India
Shri Shikshayatan School,Kolkata,India
South Point High School,Kolkata,India
South Point,Kolkata,India
St. Augustines Day School,Kolkata,India
St. James's School,Kolkata,India
St. Teresa's Secondary School,Kolkata,India
St.James' School,Kolkata,India
St.Stephen's School,Kolkata,India
Sudhir Memorial Institute,Kolkata,India
Sunflower Nursery & K.G. School,Kolkata,India
The Aryans School,Kolkata,India
The Assembly Of God Church School,Kolkata,India
The Calcutta Boy's School,Kolkata,India
The Foundation Senior Secondaryschool,Kolkata,India
The Heritage School,Kolkata,India
The Newtown School,Kolkata,India
The Vedanta Academy,Kolkata,India
Welland Gouldsmith School,Kolkata,India
Young Horizons School,Kolkata,India
Auxilium Isc School,Kollam,India
Navdeep Public School,Kollam,India
Methodist School,Konnagar,India
Sanjivani Academy,Kopargaon,India
Swamy Vivekananda English Medium School,Koppal,India
D.D.M Public School,Korba,India
BSN Academy,Kota,India
Lal Bahadur Shastri,Kota,India
St.Pauls Sr.Sec.School,Kota,India
A.E.C.S Manuguru,Kothagudem,India
Triveni Talent School,Kothagudem,India
Sri Sri Academy,Kottarakkara,India
Billabong High International School,Kottayam,India
Kendriya Vidhyalaya,Kottayam,India
St.Sebastian Public School,Kottayam,India
Bhavans Balamandir,Kozhikode,India
Nalanda International Public School,Krishnagiri,India
The Vijay Millennium Senior Secondary School,Krishnagiri,India
Maharishi Vidya Mandir,Kumbakonam,India
BGS Public School,Kunigal,India
Montessori Indus School,Kurnool,India
S D Girl School,Kurukshetra,India
Wisdom World School,Kurukshetra,India
St.Joseph's Convent School,Labpur,India
Kendriya Vidhyalaya,Lakhisarai,India
Central Public School,Lalganj,India
Vidhyavikas M. School,Latur,India
Bimla International Public School,Lucknow,India
City Montessori School,Lucknow,India
CMS Rajajipuram,Lucknow,India
La Martinier College,Lucknow,India
Loreto Convent,Lucknow,India
Rani Laxmi Bai School,Lucknow,India
Shivaji Junior High School,Lucknow,India
St Dominic Savio College,Lucknow,India
St Merry's Conventinter College,Lucknow,India
St.Francis School,Lucknow,India
Subhash Inter College,Lucknow,India
Vibgyor High School,Lucknow,India
Vidyatree Modern World College,Lucknow,India
B V M School,Ludhiana,India
Green Land Convent School,Ludhiana,India
Kundan Vidya Mandir,Ludhiana,India
Police Dav Public School,Ludhiana,India
Sacred Heart Convent School,Ludhiana,India
Satpaul Mittal School,Ludhiana,India
Nalanda Vidya Peeta,Maddur,India
Dhruva Tara School Umgaon,Madhubani,India
Mahatma CBSE Akkamma Building,Madurai,India
Vallaba Vidyalaya,Madurai,India
M.S.H.School,Maharajgan,India
Chaitanya Central School,Mahabubnagar,India
Kakatiya Group Of School,Mahabubnagar,India
Sabri Vidhya Vihar,Mahesana,India
JS Memorial Public School,Mainpuri,India
St.Anslam School Makrana,Makrana,India
Daffodils English Academy,Malda,India
Maharajnagar High Madrasah,Malda,India
North Point English Academy,Malda,India
Pipla High School,Malda,India
Ramakrishna Mission Vivekanand,Malda,India
Usha Martin School,Malda,India
Holy Angels School Malout,Malout,India
Indus Global School,Mandi,India
St. Alphonsa Convent School,Mandsaur,India
H.M.Y.H.S.S Manjeri,Manjeri,India
Manovikas English Medium School,Margao,India
Mount Hill Acadamy,Mathura,India
Shriji Baba Saraswati Vidhya Mandir,Mathura,India
Amrit Memorial Higher Secondar,Mau,India
Chandra Public School,Mau,India
Chirag Junior School,Meerut,India
Gargi Girls School,Meerut,India
KL International School,Meerut,India
Krishna Public School,Meerut,India
Meerut Public School For Girls,Meerut,India
Sarvodaya Public School Kharkhoda,Meerut,India
Sophia Girls School,Meerut,India
St.Marry's Academy,Meerut,India
Vidya Global School,Meerut,India
ACC DAV Public School,Mehgaon,India
Mission Girl's High School,Midnapore,India
Ramakrishna Mission Vidya Bhavan,Midnapore,India
Vidyasagar Shishu Niketan,Midnapore,India
S D P B E Centre Mirzapur,Mirzapur,India
Tulsi Ram Maheshwari Public School,Modinagar,India
DN Model School Moga,Moga,India
Mind Tree School,Mohali,India
Oakridge International School,Mohali,India
St. Stephens School,Mohali,India
Vivek High School,Mohali,India
K.C.M School,Moradabad,India
C S Dav Public School,Motihari,India
K.V.S Motihari,Motihari,India
M.S Memorial Public School,Motihari,India
Shantiniketan Jubilee School,Motihari,India
BVM Public School,Mughalsarai,India
Apeejay School,Mumbai,India
Arya Vidya Mandir,Mumbai,India
B.K. High School,Mumbai,India
Billabong International High School,Mumbai,India
Bombay Scottish School,Mumbai,India
C.N.M.S School,Mumbai,India
Cambridge School,Mumbai,India
Campion School,Mumbai,India
Cathedral Senior School,Mumbai,India
Chatrabhuj Narsee Memorial School,Mumbai,India
D Y Patilinternational School,Mumbai,India
D. Y. P. A. High School,Mumbai,India
D.G Khetan International School,Mumbai,India
Delhi Public School,Mumbai,India
Dhirubhai Ambani International,Mumbai,India
Divine Child High School,Mumbai,India
Ecole Mondiale,Mumbai,India
Father Agnel School,Mumbai,India
G S Shetty International School,Mumbai,India
Gold Crest High School,Mumbai,India
Gopal Sharma International School,Mumbai,India
Gopi Birla Memorial School,Mumbai,India
Hiranandani Foundation School,Mumbai,India
J B Vachha,Mumbai,India
Jamnabai Narsee International School,Mumbai,India
Kapol Vidyanidhi International,Mumbai,India
Lakshdham High School,Mumbai,India
Lilavatibai Podar High School,Mumbai,India
Lodha World School,Mumbai,India
Lokhandwala Foundation School,Mumbai,India
Nahar International School,Mumbai,India
Nalanda Public School,Mumbai,India
Narayana E Techno,Mumbai,India
Navy Children School,Mumbai,India
NES National Public School,Mumbai,India
Orchid The International School,Bombai,India
P.G. Garodia School (Icse),Mumbai,India
Pawar Public School,Mumbai,India
Podar International,Mumbai,India
RBK International Academy,Mumbai,India
Reliance Foundation School,Mumbai,India
Rustomjee Cambridge International School,Mumbai,India
S.L.Porwal E.M.H.School,Mumbai,India
SAS Billabong High School,Mumbai,India
Scholar High School,Mumbai,India
Shri S K I Jain High School,Mumbai,India
SSRVM,Mumbai,India
St Teresas Convent High School,Mumbai,India
St. Peter School,Mumbai,India
The Dadar Parsee Youth Assembly High School,Mumbai,India
The Universal School Ghatkopar,Mumbai,India
Tilak International Primary School,Mumbai,India
U. S Ostwal English Academy,Mumbai,India
Universal High Dahisar,Mumbai,India
VCW Arya Vidya Mandir,Mumbai,India
Vibgyor High,Mumbai,India
Vishwaajyot High School Kharghar,Mumbai,India
Crown Convent School,Muzaffarnagar,India
Manasarowar Pushkarni Vidyalay,Mysore,India
National Public School,Mysore,India
St.Josephs Central School,Mysore,India
Techno India Group Public School,Nabadwip,India
Corpus Christy School,Nagercoil,India
Kendriya Vidyalaya,Nagercoil,India
Trinity Central School,Nagercoil,India
Adarsh Sanskar Vidyalaya,Nagpur,India
Centre Point School,Nagpur,India
Dharampeth English Medium High,Nagpur,India
Priyadarshani Nagpur Public School,Nagpur,India
Saint Paul School,Nagpur,India
Sanskar Vidya Sagar,Nagpur,India
School Of Scholars,Nagpur,India
St. Vincent Pallotti School,Nagpur,India
Tbrans English Medium School,Nagpur,India
Wonderland High School,Nagpur,India
Lakes International School,Nainital,India
St. Marrys Najibabad,Najibabad,India
Rosemary Land School,Nalanda,India
BM Global Academy,Nalbari,India
Government Higher Secondary School,Namakkal,India
Green Park International,Namakkal,India
Chander Sain Convent Academy,Nanauta,India
D.A.V Centenary Public School,Nangloi,India
S.D.R Public Sr.Sec.School,Nangloi,India
RPS Public School,Narnaul,India
St. Joseph Senior Secondary School,Narsinghgarh,India
Doon Public School,Narwana,India
Army Public School,Nashik,India
New Era English Medium School,Nashik,India
Sacred Heart Convent High School,Nashik,India
Silver Oak Universal School,Nashik,India
St.Vincent Pallotti School,Nashik,India
Aster Global School,Navsari,India
Sgm Shiroiya English School,Navsari,India
Ratnam School,Nellore,India
Dnyaneshwar International School,Newasa,India
Amity International School,Noida,India
Apeejay School,Noida,India
Assisi Convent School,Noida,India
Aster Public School,Noida,India
Bal Bharati Public School,Noida,India
BGS Vijnatham School,Noida,India
Cambridge School,Noida,India
Gyanshree World School,Noida,India
JBM Global School,Noida,India
Manav Rachana International School,Noida,India
Nehru International Public School,Noida,India
Panchsheel Balak Inter College,Noida,India
PD Memorial School,Noida,India
Royal Pupil Academy,Noida,India
Sarvottam International School,Noida,India
Seismic School,Noida,India
Shriram Millennium School,Noida,India
Somerville School,Noida,India
The Millennium School,Noida,India
Vishwa Bharti Public School,Noida,India
St. Xavier's Collegiate School,Nonihat,India
Valley View School,North Lakhimpur,India
Sacred Heart Convent School,Obra,India
St.Joseph's Hr. Sec.School,Oinam,India
Chhatrapti Shivaji Hish School,Osmanabad,India
Zilha Parishad Primary School,Osmanabad,India
British Kinder And Primary School,Pala,India
St. Mary's G. H. S. S,Pala,India
Amrita Vidyalayam,Palakkad,India
St.John International School,Palghar,India
Dr. K. B. Hedgewar Priamary School,Panaji,India
Sharada Mandir,Panaji,India
Manav Mangal School Panchkula,Panchkula,India
Ryan International School,Panchkula,India
Saint John High School,Panchkula,India
St. John's High School,Panchkula,India
Arihant Public School,Pandharpur,India
Bal Vikas School,Panipat,India
Delhi Public School,Panipat,India
Dps,Panipat,India
Dr.MKK Arya Model School,Panipat,India
SD Vidya Mandir,Panipat,India
Vivekananda Institution,Panskura,India
JNV Hooghly,Parabagnan,India
Fatima Convent High School,Paratwada,India
Vision English School Selu,Parbhani,India
Caledonian International School,Pathankot,India
The Senior Scholars School,Pathankot,India
Cammridge Global School,Patiala,India
GEMS School,Patiala,India
Ryan International School,Patiala,India
St. Peters Academy,Patiala,India
Yadavindra Public School,Patiala,India
Christ Church Diocesan School,Patna,India
D. A. V Public School,Patna,India
Don Bosco Academy,Patna,India
Jesus And Mary Academy,Patna,India
Krishna Public School,Patna,India
Litera Valley School,Patna,India
New Era High School,Patna,India
Notre Dame Academy,Patna,India
Radiant International School,Patna,India
S.V.M.R.P School,Patna,India
Saint Karens Primary School,Patna,India
Shivam Convent,Patna,India
St Xavier's High School,Patna,India
St. Mary's Academy,Patna,India
St. Michael High School,Patna,India
A.D.Z.R Z.P High School,Payakaraopeta,India
Aditya School,Pithapuram,India
Keshav Vidhya Mandir,Pollachi,India
Aditya Vidhyashram Pondicherry,Pondicherry,India
Sri Chaitanya Techno School,Porumamilla,India
Airforce School,Prayagraj,India
Bal Bharti School,Prayagraj,India
BBS International School,Prayagraj,India
Boy's High School,Prayagraj,India
D L Public School Kanjasa,Prayagraj,India
Girls High School,Prayagraj,India
Maharshri Patajali Vidya Mandi,Prayagraj,India
MV Convent School And College,Prayagraj,India
Patanjali Rishikul,Prayagraj,India
Saint John's Academy,Prayagraj,India
SMC Ghoorpur,Prayagraj,India
St. Mary's Convent School,Prayagraj,India
St.Joseph College,Prayagraj,India
Tagore Public School,Prayagraj,India
Airforce School,Pune,India
Blue Ridge School,Pune,India
City International School,Pune,India
D.A.V Public School,Pune,India
Delhi Public School,Pune,India
Dr. Shamarao Kalmadi High School,Pune,India
Global Indian International School,Pune,India
Kothari International School,Pune,India
Lexicon International School Pune,Pune,India
Millennium National School,Pune,India
New English School And Jr College,Pune,India
Paranjape Vidya Mandir,Pune,India
PICT Model School,Pune,India
Podar International School,Pune,India
Preeti English Medium School,Pune,India
Prodigy Public School,Pune,India
R.M.D International School,Pune,India
Rasiklal M Dhariwal International School,Pune,India
Ryan Inernational School,Pune,India
Sadhana Vidhyalaya,Pune,India
Sevasadan English Medium School,Pune,India
SNBP International School,Pune,India
St Mary's School,Pune,India
St. Vincent Primary School,Pune,India
The Bishops School,Pune,India
The Good Samaritan School,Pune,India
Tree House High School,Pune,India
Vibgyor High School,Pune,India
Vidya Niketan School,Pune,India
Vidya Prathishthan Indapur English Medium School,Pune,India
Vidya Valley World School,Pune,India
Wisdom World School,Pune,India
Gopinath Dev Bidyapitha,Puri,India
Mother's Public School,Puri,India
Jet Kids International,Pusad,India
Wood Stock Public School Batala,Qadian,India
Dav Public School,Raebareli,India
Ramkrishna Mission Boys' Home,Rahara,India
Sadhvi Preetisudhaji Internati,Rahata,India
O.P Jindal School,Raigarh,India
Krishna Public School,Raipur,India
Mayoor School,Raipur,India
Monnet D.A.V. Public School,Raipur,India
NH Goel World School,Raipur,India
Rajkumar College,Raipur,India
Ryan International School,Raipur,India
Sandipani Vidya Mandir,Raipur,India
The Shapers,Raisingh Nagar,India
Sathya Vidyalaya Cbse,Rajapalayam,India
Krishna International School,Rajkot,India
Podar International School,Rajkot,India
Saint Mary's,Rajkot,India
SNK School,Rajkot,India
St Paul School,Rajkot,India
T.N.Rao School For Girls,Rajkot,India
St. Joseph's U. P. S Vellilappally,Ramapuram,India
Army Public School Ramgarh Cantt,Ramgarh,India
O. P. Jindal School,Ramgarh,India
Scholar's High,Ramgarh,India
Jawahar Vidya Mandir,Ranchi,India
Kairali School,Ranchi,India
St. Francis School,Ranchi,India
St. Xavier's School,Ranchi,India
SKS Public School,Raniganj,India
G M S F Public School,Ranikhet,India
Shemford Futuristic School,Rewa,India
Oxford International,Rewari,India
Rao Khem Chand School,Rewari,India
RPS International School,Rewari,India
Nirmal Ashram Deepmala Public School,Rishikesh,India
J.M Rathi English School,Roha,India
Aradhana Public School,Rohru,India
Schoolar Rosary Senior Sec School,Rohtak,India
St. Arnold's School,Rourkela,India
Delhi Public School,Rudrapur,India
R. A. N Public School,Rudrapur,India
New Look Central School,Sagwara,India
Dellmond International School,Saharanpur,India
Rainbow School,Saharanpur,India
Sophia Girls Senior Secondary School,Saharanpur,India
Buddha Public School,Saharsa,India
Shanti Mission Academy,Saharsa,India
Mount Litera Zee School,Sahibabad,India
Bhavans Sri Ramakrishna Vidhyalay,Sainikpuri,India
Emerald Valley Public School,Salem,India
Jairam Public School,Salem,India
K. R. P Matric Higher Secondary School,Salem,India
Maharishi Vidhya Mandhir,Salem,India
Sri Seshaas International Public School,Salem,India
Holy Mission High School,Samastipur,India
Tirhut Academy Samastipur,Samastipur,India
Podar International School,Sangli,India
General Gurnam Singh Public School,Sangrur,India
GGS Public School,Sangrur,India
La Foundation School,Sangrur,India
Little Flower Convent School,Sangrur,India
Oakridge International School,Sas Nagar,India
Pallavi Modal School,Secunderab,India
St.Theresa High School,Secunderabad,India
Ideal English Medium School,Shahada,India
Good Shepherd Convent Sr. Sec. School,Shahdol,India
The Doon School,Shahjahanpur,India
M G Convent,Shajapur,India
Saraswati Public School Shekhupura,Shamli,India
Mauli School Of Scholars,Shegaon,India
Islamia High School,Sheikhpura,India
ACME Public School,Sheohar,India
Gyandeep Senior Secondary Public School,Shikohabad,India
St Dominics Academy,Shikohabad,India
B K Bajoria School,Shillong,India
St Edmunds School,Shillong,India
Jesus Mission School,Sidhauli,India
Sanskar International School,Sikar,India
Don Bosco Siliguri,Siliguri,India
Good Shepherd School,Siliguri,India
Sacred Heart School,Siliguri,India
Jijamata Vidhyalay,Sindhkhed,India
The Sirsa School,Sirsa,India
V N Sr Sec School,Sirsa,India
Saraswati Vidya Mandir,Sitamarhi,India
Iqra Public School,Siwan,India
MRA Dav Public School,Solan,India
Indian Model School,Solapur,India
Sandeepany English Medium School,Somwarpet,India
D P S Sonepat Haryana,Sonipat,India
Little Angels School,Sonipat,India
Rishikul World Academy,Sonipat,India
Takshila Public School,Sonipat,India
The Vedic Era Progressive School,Sonipat,India
St. Joseph's Hr. Sec. School,Sopore,India
M.P.Model School,Srikakulam,India
Sarvani Vidyalayam,Srikakulam,India
KIE Hr Sec School Srinagar,Srinagar,India
M.E.I Pampore Pulwama Kashmir,Srinagar,India
Madina Public High School,Srinagar,India
Navakadal Girls Higher Secondary,Srinagar,India
SRM Welkin Hr Sec Sopore,Srinagar,India
Tyndale Biscoe School,Srinagar,India
Modern Sandeepani School,Sujanpur,India
B S I C Bhakhare Sultanpur,Sultanpur,India
Dalimss Sunbeam School,Sultanpur,India
Gurucharan Kaur Public School,Sultanpur,India
St. Theresa English School,Sundargarh,India
Golden Public School,Supaul,India
J.H.Ambani Saraswati Vidyamandir,Surat,India
Metas Of Seventh Day Adventist,Surat,India
Ryan International School,Surat,India
Sardar Vallabh Bhai Patel,Surat,India
St. Xavier's High School,Surat,India
Tiny Star Higher Secondary School,Surat,India
Sri Sai Vijetha High School,Tadipatri,India
Kongu Matric Hr Sec School,Tamilnadu,India
Santhome Public School,Thane,India
Saraswati Vidyalaya High School,Thane,India
Seven Square Academy,Thane,India
Shafi Burondkar Primary Urdu School,Thane,India
St. Xaviers Global Academy,Thane,India
Symbiosis Convent High School,Thane,India
Vasant Vihar High School,Thane,India
Bloosom Public School,Thanjavur,India
Sri Saicharan High School,Thippaluru,India
The Choice School,Thiruvalla,India
Bhavans Munshi Vidyashram,Thiruvamkulam,India
Chinmaya Vidyalaya Attukal,Thiruvananthapuram,India
Christ Nagar Central School,Thiruvananthapuram,India
Dr. Gr Public School,Thiruvananthapuram,India
Holy Angels' Isc School,Thiruvananthapuram,India
MGM Central Public School,Thiruvananthapuram,India
Sarvodaya Vidyalaya,Thiruvananthapuram,India
St. Thomas Residential School,Thiruvananthapuram,India
Stmarys School Pattom,Thiruvananthapuram,India
The School Of Good Shepherd,Thiruvananthapuram,India
Paramekkavu Vidya Mandir,Thrissur,India
Rosemary Public School,Tirunelveli,India
Edify School,Tirupati,India
Aurobindo International School,Trichy,India
Kamala Niketan Montessori School,Trichy,India
RSK Higher Secondary School,Trichy,India
Sri Vageesha Vidhyashram Schoo,Trichy,India
Sri Chaitanya Techno School,Tumakuru,India
Mahaveer Senior Secondry School,Udaipur,India
Rana Pratap English Medium School,Udaipur,India
St. Anthony's Senior Secondary School,Udaipur,India
Army Public School Udhampur,Udhampur,India
Little Rock Indian School,Udupi,India
Podar International School,Ulhaanagar,India
D.A.V Centenary Public School,Una,India
Alembic Vidhyalaya,Vadodara,India
Ambe Vidhyalaya,Vadodara,India
Baselious Public School Bajwa,Vadodara,India
Bhartiya Vidya Bhavan,Vadodara,India
Bright Day School,Vadodara,India
Delhi Public School,Vadodara,India
Gujarat Public School,Vadodara,India
Navrachana School,Vadodara,India
Saint Basil School,Vadodara,India
Tejas Vidyalaya,Vadodara,India
Vibgyor High,Vadodara,India
Saint Monica,Vaijapur,India
Smt Sandraben Shroff Gnyandham School,Vapi,India
St. Xavier's High School,Vapi,India
Central Hindu Boys School,Varanasi,India
Green Valley English School,Varanasi,India
Gyandeep Academy,Varanasi,India
Navneeta Kunwar Public School,Varanasi,India
St Johns School,Varanasi,India
St. John's School,Varanasi,India
St.Josheps Convent School,Varanasi,India
Sunbeam Indra Nagar Varanasi,Varanasi,India
Sunbeam School Mughalsarai,Varansi,India
Varanasi Public School,Varanasi,India
IDA Scudder School,Vellore,India
Vaels International School,Vettuvankeni,India
Vatsalya S.Sec School,Vidisha,India
Tungal School,Vijayapur,India
Atkinson Sr Sec School,Vijayawada,India
Narayana E-Techno School,Vijayawada,India
St.Johns Em School,Vijayawada,India
The Don Bosco Public School,Vijayawada,India
Muljibhai Mehta International School,Virar,India
Linga Global School,Virudhunagar,India
R J Mantra English School,Virudhunagar,India
Apoorva High School,Visakhapatnam,India
D. A. V School,Visakhapatnam,India
M.J.P.A.P.B.C.W.Rschoool,Visakhapatnam,India
Narayana E-Techono School,Visakhapatnam,India
Srishti World School,Visakhapatnam,India
S.R.G.R.Eng. Med. School,Vita,India
PSR School,Vizianagaram,India
True Light School,Wada,India
St. Peter's Central School,Warangal,India
Warangal Public School,Warangal,India
Green Valley Public School,Waraseoni,India
Ideal Academy School Waraseoni,Waraseoni,India
Saint Vidya Sagar Convent Hr. Sec. School,Waraseoni,India
Gandhi City Public School,Wardha,India
Divine Glory Public School,Yamuna Nagar,India
New Happy Public School,Yamuna Nagar,India
Sivananda Praveen Public School,Yamuna Nagar,India
Swami Vivekanand Public School,Yamuna Nagar,India
Free Methodist English Medium,Yavatmal,India
School Of Scholars,Yavatmal,India
Yavatmal Public School,Yavatmal,India
Don Bosco High School,Yerrupalem,India
Dikshant International School,Zirakpur,India
Hans Raj Public School,Zirakpur,India
Satluj Public School,Zirakpur,India
Mount Litera Zee School Goa,Zuarinagar,India
